sample_id,concentration_ppb,source_file,Ip_corr,Ep,Area_peak,Peak_to_bg,Slope_rise,Slope_fall,Symmetry,dIdE_max,d2IdE2_max,Mean,Var,Skew,Kurtosis,Energy
2ppb_S3,2,Ac TW 2ppb.xlsx,2.8638,-0.0833,0.44908623,2.538109756,7.649668812,-49.6372549,-0.15411144,23.8627451,475.7785467,1.81344,0.268665603,0.094641153,2.310992051,88.93075592
2ppb_S4,2,Ac TW 2ppb.xlsx,2.5664,-0.0833,0.3188243,4.104663809,7.869305928,-42.08823529,-0.186971629,23.19607843,540.1768551,1.29312,0.328757606,0.592444412,2.411083945,50.02292352
50ppb_S1,50,Ac TW 50ppb.xlsx,11.274,-0.1956,1.70369672,3.039108916,86.05806938,-67.91571886,-1.267130361,107.745098,1955.97847,6.771752,8.138151828,0.149615254,1.753420247,1349.869424
50ppb_S2,50,Ac TW 50ppb.xlsx,10.362,-0.1956,1.52833764,3.031278157,81.60516934,-64.63337546,-1.262585603,104.9019608,1855.055748,6.068728,7.350751596,0.175571261,1.703655041,1104.505278
50ppb_S3,50,Ac TW 50ppb.xlsx,10.433,-0.1956,1.55247168,2.781154367,80.28493076,-65.75512489,-1.220968417,99.01960784,1772.395233,6.163856,7.477459688,0.134440467,1.686316945,1136.764512
50ppb_S4,50,Ac TW 50ppb.xlsx,10.43,-0.2058,1.53440864,2.71971546,84.41675579,-63.96155404,-1.31980464,102.9411765,1808.439062,6.094056,7.466882994,0.175723981,1.678738975,1115.110038
5ppb_S1,5,Ac TW 5ppb.xlsx,3.082,-0.0833,0.53141446,2.156270114,6.823628488,-53.87254902,-0.12666244,29.47058824,625.7208766,2.142632,0.229518767,-0.359356051,2.972076158,120.5097664
5ppb_S2,5,Ac TW 5ppb.xlsx,2.8866,-0.0833,0.5423348,1.771659343,5.02420268,-50.53921569,-0.099411964,33.89215686,619.4732795,2.185856,0.143541662,-0.744130807,3.647997627,123.0377029
5ppb_S3,5,Ac TW 5ppb.xlsx,4.189,-0.0833,0.65064241,2.815188172,12.14570317,-74,-0.164131124,30.56862745,775.6632065,2.624752,0.668606801,-0.022863536,2.224228776,188.9482466
5ppb_S4,5,Ac TW 5ppb.xlsx,3.4488,-0.0833,0.62673798,1.948166392,6.942873225,-60.3627451,-0.115019176,36.30392157,732.8911957,2.525832,0.250668585,-0.615707367,3.167447514,165.7623969
5ppb_S5,5,Ac TW 5ppb.xlsx,2.8818,-0.0833,0.40628213,4.132679401,10.14791686,-50.78431373,-0.199823845,18.7745098,644.4636678,1.639136,0.467443334,0.003959491,1.944897066,78.855254
5ppb_S6,5,Ac TW 5ppb.xlsx,2.5488,-0.0833,0.36386713,4.098012734,8.942451554,-45.3627451,-0.197132064,16.61764706,608.9004229,1.467512,0.363335203,-0.06662384,1.937200978,62.92316684
5ppb_S7,5,Ac TW 5ppb.xlsx,2.5834,-0.0833,0.42046699,2.640649276,6.98722421,-45.55882353,-0.15336709,19.49019608,592.0799692,1.694848,0.228503646,-0.273215167,2.441819386,77.52533472
5ppb_S8,5,Ac TW 5ppb.xlsx,3.016,-0.0833,0.44925442,3.398999234,9.76299336,-53.21568627,-0.183460818,18.28431373,625.7208766,1.81196,0.430225773,-0.050873189,2.059159316,92.83562036
5ppb_S9,5,Ac TW 5ppb.xlsx,1.9408,-0.0833,0.32602958,2.51568414,4.734915004,-32.68627451,-0.144859427,15.41176471,538.2545175,1.31412,0.117580826,-0.530323584,2.642081322,46.112305
5ppb_S10,5,Ac TW 5ppb.xlsx,2.3026,-0.0833,0.4026328,2.250214995,4.850758616,-40.32352941,-0.120295983,22.29411765,544.5021146,1.621064,0.13897646,-0.717316302,3.388302291,69.1706238
5ppb_S11,5,Ac TW 5ppb.xlsx,2.0732,-0.0833,0.3716202,2.447928966,5.28041555,-35.48039216,-0.148826302,18.58823529,591.5993849,1.49468,0.154136278,-0.820158873,2.659198118,59.70511452
5ppb_S12,5,Ac TW 5ppb.xlsx,2.2662,-0.0833,0.40613425,2.362593828,5.630275593,-39.90196078,-0.14110273,21.12745098,476.2591311,1.633384,0.169038473,-0.827391692,2.830622354,70.92454412
5ppb_S13,5,Ac TW 5ppb.xlsx,2.509,-0.0833,0.37137596,2.734426087,6.145237553,-42.98039216,-0.142977699,21.32352941,490.1960784,1.500624,0.19641947,0.3730159,2.999887074,61.20729648
5ppb_S14,5,Ac TW 5ppb.xlsx,3.1032,-0.0833,0.56231321,2.071838697,6.796390463,-54.74509804,-0.124146101,34.45098039,402.2491349,2.262976,0.235982759,-0.851970482,3.560769014,133.9260784
5ppb_S15,5,Ac TW 5ppb.xlsx,2.975,-0.0833,0.53335274,2.169505863,6.865160185,-52.41176471,-0.130985099,30.50980392,545.4632834,2.146536,0.238387561,-0.772672654,3.15892774,121.150109
5ppb_S16,5,Ac TW 5ppb.xlsx,2.2612,-0.0833,0.39736247,2.200381457,5.134719307,-38.2254902,-0.134327102,22.56862745,600.7304883,1.60096,0.134775309,-0.637498318,2.961042233,67.44620576
