sample_id,concentration_ppb,source_file,E_-0.8999,E_-0.8897,E_-0.8795,E_-0.8693,E_-0.8590,E_-0.8488,E_-0.8386,E_-0.8284,E_-0.8182,E_-0.8080,E_-0.7978,E_-0.7876,E_-0.7774,E_-0.7672,E_-0.7570,E_-0.7468,E_-0.7366,E_-0.7263,E_-0.7161,E_-0.7059,E_-0.6957,E_-0.6855,E_-0.6753,E_-0.6651,E_-0.6549,E_-0.6447,E_-0.6345,E_-0.6243,E_-0.6141,E_-0.6039,E_-0.5937,E_-0.5834,E_-0.5732,E_-0.5630,E_-0.5528,E_-0.5426,E_-0.5324,E_-0.5222,E_-0.5120,E_-0.5018,E_-0.4916,E_-0.4814,E_-0.4712,E_-0.4610,E_-0.4507,E_-0.4405,E_-0.4303,E_-0.4201,E_-0.4099,E_-0.3997,E_-0.3895,E_-0.3793,E_-0.3691,E_-0.3589,E_-0.3487,E_-0.3385,E_-0.3283,E_-0.3180,E_-0.3078,E_-0.2976,E_-0.2874,E_-0.2772,E_-0.2670,E_-0.2568,E_-0.2466,E_-0.2364,E_-0.2262,E_-0.2160,E_-0.2058,E_-0.1956,E_-0.1853,E_-0.1751,E_-0.1649,E_-0.1547,E_-0.1445,E_-0.1343,E_-0.1241,E_-0.1139,E_-0.1037,E_-0.0935,E_-0.0833,E_-0.0731,E_-0.0629,E_-0.0526,E_-0.0424,E_-0.0322,E_-0.0220,E_-0.0118,E_-0.0016
10ppb_S16,10,Ac TW 10ppb.xlsx,-0.28,0.301,-0.406,-0.525,-0.357,0.455,4.851,9.625,13.62,17.23,20.23,23.32,20.09,17.35,14.91,13.24,11.97,10.6,9.639,9.163,8.491,7.805,7.458,7.108,6.629,6.52,6.492,6.191,5.903,6.121,5.927,5.763,5.394,5.2,4.912,4.97,4.914,4.851,4.732,4.788,4.751,4.749,4.921,4.98,4.976,5.117,5.327,5.398,5.5,5.757,5.932,6.042,6.203,6.485,6.503,6.496,6.791,6.847,6.639,6.828,6.955,6.907,6.948,7.276,7.435,7.358,7.853,8.113,8.068,8.412,8.512,8.227,8.167,8.227,8.003,7.805,7.952,7.948,7.878,8.101,8.335,8.335,8.533,8.886,8.956,9.005,9.378,9.6,9.611
10ppb_S17,10,Ac TW 10ppb.xlsx,-0.154,0.63,-0.238,-0.91,5.894,10.93,15.37,18.96,22.22,24.18,20.56,17.44,15.13,13.17,11.38,10.23,9.282,8.176,7.483,7.077,6.587,5.985,5.852,5.579,5.215,5.103,5.082,4.893,4.76,4.735,4.644,4.476,4.567,4.599,4.476,4.508,4.525,4.553,4.564,4.653,4.692,4.604,4.488,4.542,4.606,4.744,4.91,4.998,5.141,5.314,5.505,5.61,5.696,5.853,5.901,5.833,6.0,6.107,6.01,6.119,6.308,6.368,6.394,6.79,7.02,7.017,7.459,7.637,7.57,7.604,7.661,7.451,7.133,7.224,7.112,6.848,7.048,7.216,7.189,7.348,7.682,7.754,7.924,8.248,8.318,8.342,8.72,8.951,9.032
10ppb_S18,10,Ac TW 10ppb.xlsx,-0.469,-0.175,-0.3745,-0.441,-0.413,-0.063,1.589,4.627,8.841,12.5,15.67,18.26,20.75,17.74,15.24,13.36,11.82,10.4,9.359,8.764,7.889,7.189,6.958,6.468,5.992,5.873,5.81,5.355,5.117,5.201,4.998,4.802,4.767,4.735,4.639,4.518,4.536,4.459,4.556,4.609,4.62,4.644,4.683,4.739,4.728,4.608,4.693,4.775,4.895,5.042,5.224,5.388,5.526,5.673,5.837,5.869,6.01,6.091,6.039,6.185,6.288,6.308,6.327,6.628,6.825,6.787,7.204,7.522,7.546,7.591,7.777,7.681,7.407,7.475,7.345,6.996,7.071,7.181,7.091,7.153,7.458,7.618,7.691,8.022,8.109,8.146,8.489,8.655,8.657
10ppb_S19,10,Ac TW 10ppb.xlsx,-0.539,-0.441,-0.203,-0.392,-0.504,-0.42,1.743,6.741,10.99,14.8,17.97,20.68,21.13,18.28,15.74,13.99,12.53,11.11,10.05,9.618,8.743,7.917,7.714,7.28,6.692,6.335,6.293,5.768,5.579,5.694,5.456,5.183,5.285,5.169,5.022,4.945,5.092,4.952,4.875,4.944,4.961,4.856,4.765,4.619,4.625,4.796,4.87,4.977,5.065,5.299,5.413,5.489,5.701,5.863,5.896,5.923,6.145,6.219,6.163,6.272,6.459,6.478,6.489,6.861,7.03,7.009,7.467,7.761,7.727,7.914,8.05,7.907,7.651,7.745,7.6,7.268,7.417,7.508,7.416,7.549,7.945,7.945,8.13,8.514,8.599,8.68,9.039,9.287,9.317
10ppb_S20,10,Ac TW 10ppb.xlsx,0.931,-0.581,-0.378,0.252,1.106,-0.476,1.687,7.112,11.63,15.64,19.19,22.22,22.95,19.78,17.11,15.13,13.57,12.01,10.84,10.2,9.282,8.393,7.941,7.476,6.86,6.562,6.433,5.932,5.729,5.764,5.544,5.32,5.309,5.306,5.061,4.907,5.024,4.861,4.767,4.5,4.404,4.446,4.632,4.704,4.66,4.849,4.987,5.056,5.174,5.421,5.568,5.652,5.841,6.163,6.189,6.211,6.497,6.616,6.463,6.625,6.847,6.848,6.893,7.356,7.398,7.371,7.837,8.067,8.034,8.174,8.356,8.111,8.041,8.115,7.903,7.703,7.905,7.888,7.854,8.115,8.389,8.368,8.566,8.965,9.079,9.126,9.565,9.819,9.87
10ppb_S21,10,Ac TW 10ppb.xlsx,-0.406,-0.021,0.945,2.66,7.567,11.96,15.76,18.89,21.54,20.78,17.58,15.04,13.12,11.37,9.961,8.939,8.169,7.273,6.727,6.433,5.957,5.572,5.523,5.32,4.991,4.896,4.984,4.753,4.69,4.896,4.812,4.704,4.802,4.636,4.48,4.574,4.406,4.349,4.48,4.571,4.595,4.705,4.744,4.82,4.959,5.079,5.156,5.287,5.407,5.531,5.642,5.751,5.782,5.925,5.979,5.891,5.995,6.099,6.051,6.147,6.356,6.428,6.539,6.907,7.164,7.134,7.531,7.731,7.635,7.6,7.629,7.402,7.105,7.164,7.092,6.847,7.02,7.2,7.2,7.346,7.696,7.773,7.91,8.235,8.312,8.354,8.745,8.998,9.126
10ppb_S22,10,Ac TW 10ppb.xlsx,-0.364,0.301,-0.252,-0.378,-0.322,3.983,8.841,12.94,16.35,19.36,22.37,19.66,16.91,14.57,12.52,11.17,10.13,9.072,8.19,7.819,7.245,6.706,6.559,6.286,5.852,5.796,5.768,5.397,5.313,5.309,5.229,5.085,5.106,5.068,4.914,4.903,4.819,4.737,4.721,4.865,4.91,4.868,4.843,4.759,4.833,4.901,5.023,5.124,5.243,5.45,5.62,5.745,5.88,6.111,6.201,6.202,6.376,6.469,6.446,6.528,6.709,6.73,6.798,7.164,7.402,7.442,8.013,8.433,8.549,8.904,9.226,9.144,9.249,9.334,9.474,9.469,9.817,10.0,10.06,10.48,10.93,11.08,11.39,11.91,12.09,12.16,12.58,12.76,12.67
10ppb_S23,10,Ac TW 10ppb.xlsx,0.504,-0.406,-0.357,-0.028,0.707,2.534,8.085,12.75,16.74,20.24,23.25,22.58,19.51,16.79,14.42,12.77,11.45,10.16,9.177,8.701,8.008,7.287,7.147,6.832,6.384,6.265,6.174,5.873,5.705,5.789,5.593,5.467,5.502,5.432,5.232,5.267,5.379,5.274,5.215,5.301,5.297,5.299,5.221,5.142,5.147,5.382,5.494,5.588,5.69,5.932,6.149,6.188,6.486,6.685,6.801,6.8,7.089,7.134,6.937,7.155,7.347,7.269,7.325,7.695,7.871,7.839,8.357,8.68,8.711,8.941,9.032,8.827,8.708,8.787,8.493,8.248,8.374,8.386,8.269,8.491,8.759,8.757,8.956,9.327,9.448,9.474,9.849,10.09,10.08
10ppb_S24,10,Ac TW 10ppb.xlsx,-0.266,0.483,-0.308,-0.28,-0.217,5.88,10.84,14.85,18.42,21.7,23.51,19.94,17.25,14.9,12.89,11.4,10.28,9.1,8.358,7.861,7.161,6.601,6.412,6.076,5.6,5.488,5.481,5.145,5.047,5.166,4.998,4.795,4.882,4.84,4.634,4.707,4.692,4.707,4.718,4.774,4.783,4.791,4.721,4.624,4.686,4.839,4.975,5.129,5.218,5.521,5.703,5.834,5.994,6.29,6.323,6.434,6.558,6.564,6.453,6.583,6.764,6.693,6.785,7.15,7.238,7.255,7.776,8.06,8.032,8.211,8.363,8.176,8.083,8.129,7.898,7.695,7.819,7.85,7.798,8.024,8.281,8.286,8.47,8.848,8.911,8.951,9.305,9.539,9.562
12ppb_S1,12,Ac TW 12ppb.xlsx,-0.287,0.042,-0.119,-0.133,-0.098,0.077,2.926,10.37,16.6,22.16,27.02,31.28,30.44,26.12,22.37,19.42,17.24,14.9,13.18,12.09,10.66,9.481,8.869,8.097,7.219,6.986,6.727,6.221,5.903,6.009,5.687,5.413,5.414,5.351,5.239,5.07,5.122,4.919,4.851,4.673,4.662,4.777,4.896,4.967,5.064,5.24,5.43,5.589,5.748,6.036,6.255,6.425,6.707,7.059,7.156,7.18,7.497,7.573,7.428,7.549,7.719,7.65,7.68,8.092,8.291,8.303,8.822,8.998,9.025,9.268,9.383,9.14,9.046,9.077,8.839,8.608,8.746,8.745,8.668,8.885,9.173,9.193,9.354,9.744,9.831,9.873,10.28,10.52,10.56
