concentration_ppb,V_-0.0016,V_-0.0118,V_-0.0220,V_-0.0322,V_-0.0424,V_-0.0526,V_-0.0629,V_-0.0731,V_-0.0833,V_-0.0935,V_-0.1037,V_-0.1139,V_-0.1241,V_-0.1343,V_-0.1445,V_-0.1547,V_-0.1649,V_-0.1751,V_-0.1853,V_-0.1956,V_-0.2058,V_-0.2160,V_-0.2262,V_-0.2364,V_-0.2466,V_-0.2568,V_-0.2670,V_-0.2772,V_-0.2874,V_-0.2976,V_-0.3078,V_-0.3180,V_-0.3283,V_-0.3385,V_-0.3487,V_-0.3589,V_-0.3691,V_-0.3793,V_-0.3895,V_-0.3997,V_-0.4099,V_-0.4201,V_-0.4303,V_-0.4405,V_-0.4507,V_-0.4610,V_-0.4712,V_-0.4814,V_-0.4916,V_-0.5018,V_-0.5120,V_-0.5222,V_-0.5324,V_-0.5426,V_-0.5528,V_-0.5630,V_-0.5732,V_-0.5834,V_-0.5937,V_-0.6039,V_-0.6141,V_-0.6243,V_-0.6345,V_-0.6447,V_-0.6549,V_-0.6651,V_-0.6753,V_-0.6855,V_-0.6957,V_-0.7059,V_-0.7161,V_-0.7263,V_-0.7366,V_-0.7468,V_-0.7570,V_-0.7672,V_-0.7774,V_-0.7876,V_-0.7978,V_-0.8080,V_-0.8182,V_-0.8284,V_-0.8386,V_-0.8488,V_-0.8590,V_-0.8693,V_-0.8795,V_-0.8897,V_-0.8999,dataset
0.0,3.467,3.507,3.481,3.138,3.008,3.024,2.807,2.725,2.448,2.182,1.991,1.908,1.762,1.538,1.684,1.661,1.676,1.666,1.694,1.545,1.535,1.512,1.415,1.154,1.186,1.08,0.941,1.015,1.127,1.087,1.097,1.149,1.23,1.183,1.151,1.062,0.886,0.748,0.634,0.492,0.373,0.22,0.169,0.075,0,0.018,0.026,0.054,0.089,0.168,0.271,0.46,0.905,0.793,1.12,1.531,1.86,1.799,2.095,2.632,2.371,2.427,2.651,2.62,2.214,2.326,2.088,1.969,2.06,2.396,2.242,2.795,3.67,4.132,5.166,6.506,8.096,9.896,12.386,12.366,10.016,7.466,4.566,0.968,-3.19,-4.702,-5.458,-4.569,-5.402,lab
0.0,3.836,3.393,3.659,2.826,2.945,2.865,2.49,2.436,2.198,1.829,1.526,1.473,1.346,1.065,1.167,1.025,1.202,1.153,1.279,1.26,1.22,1.169,1.172,0.854,1.092,0.88,0.85,0.803,1.006,1.155,1.034,1.113,1.244,1.055,1.129,1.102,0.917,0.812,0.894,0.446,0.338,0.334,0.188,0.08,0,0.203,0.203,0.18,0.077,0.238,0.115,0.238,0.6,0.775,0.742,1.272,1.414,1.402,1.538,1.839,1.696,1.533,1.767,1.463,1.743,1.739,2.268,1.974,2.73,3.017,3.43,4.039,5.505,6.265,7.595,9.605,11.745,14.345,15.275,12.805,9.585,6.255,2.317,-2.275,-4.41,-5.229,-4.648,-5.313,-5.467,lab
0.0,3.689,3.632,3.392,2.991,2.949,2.902,2.529,2.296,2.321,2.013,1.644,1.593,1.432,1.064,0.998,1.038,0.637,0.727,0.895,0.79,0.571,0.692,0.777,0.56,0.557,0.527,0.532,0.459,0.672,0.669,0.588,0.816,0.945,0.795,0.833,0.984,0.847,0.672,0.679,0.62,0.329,0.312,0.294,0.077,0,0.144,0.133,0.193,0.2,0.294,0.27,0.438,0.784,0.896,1.159,1.649,1.929,2.156,2.639,3.059,3.073,3.308,3.567,3.367,3.056,3.105,2.965,2.576,2.524,2.839,2.699,3.028,3.777,4.389,5.209,6.569,8.139,9.899,12.449,15.499,14.079,11.229,8.189,4.409,0.13,-4.854,-6.079,-6.345,-6.275,lab
0.0,4.623,4.558,4.301,3.93,3.921,3.898,3.562,3.382,3.42,3.142,2.792,2.75,2.243,1.874,1.945,1.876,1.629,1.723,1.817,1.76,1.677,1.84,1.782,1.713,1.62,1.609,1.389,1.393,1.504,1.491,1.616,1.702,1.765,1.576,1.688,1.75,1.558,1.28,1.245,1.063,0.701,0.501,0.416,0.236,0,0.039,-0.026,-0.132,-0.154,-0.076,-0.087,0.062,0.165,0.246,0.272,0.583,0.811,0.895,1.319,1.537,1.431,1.667,1.887,1.793,1.695,1.835,1.87,1.66,1.919,2.206,2.157,2.479,3.172,3.676,4.313,5.425,6.655,8.085,10.085,12.555,15.265,14.685,12.065,8.855,5.265,1.107,-3.59,-4.612,-5.354,lab
0.0,4.18,4.189,3.989,3.578,3.515,3.263,3.093,2.791,2.597,2.217,1.982,1.974,1.795,1.539,1.697,1.682,1.491,1.618,1.736,1.589,1.462,1.541,1.412,1.347,1.215,1.221,1.157,1.066,1.125,1.167,1.208,1.218,1.242,1.089,0.993,0.995,0.84,0.593,0.559,0.429,0.12,0.092,0.089,0.034,0,-0.053,-0.071,-0.138,-0.098,0.053,-0.011,0.053,0.335,0.481,0.552,0.874,0.971,1.014,1.28,1.473,1.308,1.452,1.812,1.847,1.956,2.53,2.768,2.845,3.531,4.196,4.686,5.48,6.78,8.05,9.64,11.92,14.56,14.24,11.6,8.83,5.27,1.326,-3.252,-5.492,-5.667,-5.4955,-5.198,-5.625,-5.562,lab
0.0,3.921,3.944,3.741,3.401,3.34,3.263,2.911,2.525,2.367,2.001,1.801,1.756,1.558,1.302,1.425,1.384,1.397,1.367,1.412,1.294,1.215,1.295,1.145,0.939,1.031,1.024,0.876,0.932,1.061,1.039,1.087,1.114,1.135,1.04,1.005,0.978,0.827,0.621,0.521,0.488,0.267,0.18,0.134,0.083,0,-0.094,-0.123,-0.22,-0.292,-0.147,-0.027,0.052,0.262,0.151,0.337,0.578,0.638,0.55,0.774,0.974,0.816,0.918,1.268,1.31,1.401,1.842,2.185,2.36,2.941,3.662,4.131,5.052,6.342,7.632,9.132,11.372,13.892,16.872,15.222,12.302,9.082,5.012,0.617,-5.025003,-5.459,-4.857,-5.354,-5.319,-5.515,lab
0.0,4.305,4.174,3.915,3.503,3.425,3.362,2.998,2.831,2.572,2.217,1.984,1.921,1.666,1.362,1.425,1.308,1.083,1.193,1.22,1.145,1.105,1.233,1.137,0.948,1.054,0.976,0.811,0.835,0.86,0.817,0.795,0.968,1.016,0.931,1.021,1.055,0.934,0.847,0.756,0.673,0.507,0.369,0.222,0.143,0,-0.06,-0.146,-0.195,-0.267,-0.271,-0.303,-0.197,-0.042,-0.172,-0.214,-0.012,-0.028,0.052,0.199,0.311,0.241,0.329,0.483,0.682,0.563,0.941,1.288,1.267,1.736,2.247,2.478,3.01,3.948,4.711,5.606,7.156,8.796,10.686,13.366,16.516,17.306,14.566,11.316,7.576,3.087,-2.198,-5.215,-5.313,-5.355,lab
0.0,4.111,4.148,4.025,3.721,3.694,3.631,3.301,3.101,2.847,2.507,2.341,2.311,2.145,1.942,2.096,2.061,1.925,2.129,2.289,2.065,2.022,2.078,1.913,1.69,1.838,1.75,1.617,1.646,1.699,1.67,1.7,1.728,1.703,1.553,1.447,1.357,1.168,0.964,0.781,0.582,0.391,0.215,0.137,-0.004,0,0.012,-0.047,-0.121,-0.079,-0.114,-0.345,-0.352,-0.38,-0.418,-0.404,-0.278,-0.25,-0.369,-0.264,-0.117,-0.271,-0.222,0.016,0.037,0.142,0.373,0.632,0.786,1.164,1.696,2.109,2.732,3.74,4.685,5.866,7.536,9.506,11.746,14.676,18.036,14.476,11.546,7.976,3.999,-0.649,-4.961,-3.96,-4.793,-4.926,lab
0.0,4.985,4.979,4.754,4.339,4.271,4.138,3.697,3.457,3.19,2.754,2.501,2.452,2.232,1.891,1.997,1.962,1.899,1.797,1.84,1.68,1.532,1.59,1.484,1.431,1.318,1.332,1.169,1.195,1.331,1.297,1.351,1.378,1.396,1.302,1.195,1.24,1.053,0.793,0.663,0.688,0.412,0.31,0.331,0.163,0,0.067,0.076,0.221,0.305,0.274,0.072,0.132,0.212,0.328,0.317,0.552,0.688,0.597,0.835,1.042,1.028,1.255,1.763,1.899,2.022,2.669,3.198,3.415,4.227,5.095,5.602,6.602,8.082,9.472,11.292,13.812,16.822,16.122,13.352,10.072,6.322,1.973,-3.081,-5.048,-4.376,-4.859,-5.23,-5.174,-4.481,lab
0.0,5.248,5.178,4.928,4.489,4.394,4.329,3.904,3.635,3.603,3.258,2.891,2.865,2.446,2.077,2.117,2.007,1.874,1.96,2.097,1.975,1.824,1.974,1.868,1.826,1.718,1.743,1.514,1.507,1.684,1.676,1.733,1.739,1.834,1.623,1.567,1.66,1.419,1.13,1.076,0.891,0.574,0.417,0.429,0.262,0,0.089,0.0,-0.216,-0.199,-0.148,-0.075,-0.056,0.126,-0.04,0.052,0.322,0.318,0.178,0.427,0.602,0.574,0.672,1.102,1.235,1.365,1.897,2.233,2.415,3.017,3.71,4.032,4.683,5.808,6.738,8.018,9.888,12.058,14.568,15.598,12.918,9.808,6.348,2.415,-2.303,-5.761,-5.635,-5.6035,-5.348,-5.67,lab
