concentration_ppb,E_-0.8999,E_-0.8897,E_-0.8795,E_-0.8693,E_-0.8590,E_-0.8488,E_-0.8386,E_-0.8284,E_-0.8182,E_-0.8080,E_-0.7978,E_-0.7876,E_-0.7774,E_-0.7672,E_-0.7570,E_-0.7468,E_-0.7366,E_-0.7263,E_-0.7161,E_-0.7059,E_-0.6957,E_-0.6855,E_-0.6753,E_-0.6651,E_-0.6549,E_-0.6447,E_-0.6345,E_-0.6243,E_-0.6141,E_-0.6039,E_-0.5937,E_-0.5834,E_-0.5732,E_-0.5630,E_-0.5528,E_-0.5426,E_-0.5324,E_-0.5222,E_-0.5120,E_-0.5018,E_-0.4916,E_-0.4814,E_-0.4712,E_-0.4610,E_-0.4507,E_-0.4405,E_-0.4303,E_-0.4201,E_-0.4099,E_-0.3997,E_-0.3895,E_-0.3793,E_-0.3691,E_-0.3589,E_-0.3487,E_-0.3385,E_-0.3283,E_-0.3180,E_-0.3078,E_-0.2976,E_-0.2874,E_-0.2772,E_-0.2670,E_-0.2568,E_-0.2466,E_-0.2364,E_-0.2262,E_-0.2160,E_-0.2058,E_-0.1956,E_-0.1853,E_-0.1751,E_-0.1649,E_-0.1547,E_-0.1445,E_-0.1343,E_-0.1241,E_-0.1139,E_-0.1037,E_-0.0935,E_-0.0833,E_-0.0731,E_-0.0629,E_-0.0526,E_-0.0424,E_-0.0322,E_-0.0220,E_-0.0118,E_-0.0016
0,-5.402,-4.569,-5.458,-4.702,-3.19,0.968,4.566,7.466,10.016,12.366,12.386,9.896,8.096,6.506,5.166,4.132,3.67,2.795,2.242,2.396,2.06,1.969,2.088,2.326,2.214,2.62,2.651,2.427,2.371,2.632,2.095,1.799,1.86,1.531,1.12,0.793,0.905,0.46,0.271,0.168,0.089,0.054,0.026,0.018,0,0.075,0.169,0.22,0.373,0.492,0.634,0.748,0.886,1.062,1.151,1.183,1.23,1.149,1.097,1.087,1.127,1.015,0.941,1.08,1.186,1.154,1.415,1.512,1.535,1.545,1.694,1.666,1.676,1.661,1.684,1.538,1.762,1.908,1.991,2.182,2.448,2.725,2.807,3.024,3.008,3.138,3.481,3.507,3.467
0,-5.467,-5.313,-4.648,-5.229,-4.41,-2.275,2.317,6.255,9.585,12.805,15.275,14.345,11.745,9.605,7.595,6.265,5.505,4.039,3.43,3.017,2.73,1.974,2.268,1.739,1.743,1.463,1.767,1.533,1.696,1.839,1.538,1.402,1.414,1.272,0.742,0.775,0.6,0.238,0.115,0.238,0.077,0.18,0.203,0.203,0,0.08,0.188,0.334,0.338,0.446,0.894,0.812,0.917,1.102,1.129,1.055,1.244,1.113,1.034,1.155,1.006,0.803,0.85,0.88,1.092,0.854,1.172,1.169,1.22,1.26,1.279,1.153,1.202,1.025,1.167,1.065,1.346,1.473,1.526,1.829,2.198,2.436,2.49,2.865,2.945,2.826,3.659,3.393,3.836
0,-6.275,-6.345,-6.079,-4.854,0.13,4.409,8.189,11.229,14.079,15.499,12.449,9.899,8.139,6.569,5.209,4.389,3.777,3.028,2.699,2.839,2.524,2.576,2.965,3.105,3.056,3.367,3.567,3.308,3.073,3.059,2.639,2.156,1.929,1.649,1.159,0.896,0.784,0.438,0.27,0.294,0.2,0.193,0.133,0.144,0,0.077,0.294,0.312,0.329,0.62,0.679,0.672,0.847,0.984,0.833,0.795,0.945,0.816,0.588,0.669,0.672,0.459,0.532,0.527,0.557,0.56,0.777,0.692,0.571,0.79,0.895,0.727,0.637,1.038,0.998,1.064,1.432,1.593,1.644,2.013,2.321,2.296,2.529,2.902,2.949,2.991,3.392,3.632,3.689
0,-5.354,-4.612,-3.59,1.107,5.265,8.855,12.065,14.685,15.265,12.555,10.085,8.085,6.655,5.425,4.313,3.676,3.172,2.479,2.157,2.206,1.919,1.66,1.87,1.835,1.695,1.793,1.887,1.667,1.431,1.537,1.319,0.895,0.811,0.583,0.272,0.246,0.165,0.062,-0.087,-0.076,-0.154,-0.132,-0.026,0.039,0,0.236,0.416,0.501,0.701,1.063,1.245,1.28,1.558,1.75,1.688,1.576,1.765,1.702,1.616,1.491,1.504,1.393,1.389,1.609,1.62,1.713,1.782,1.84,1.677,1.76,1.817,1.723,1.629,1.876,1.945,1.874,2.243,2.75,2.792,3.142,3.42,3.382,3.562,3.898,3.921,3.93,4.301,4.558,4.623
0,-5.562,-5.625,-5.198,-5.4955,-5.667,-5.492,-3.252,1.326,5.27,8.83,11.6,14.24,14.56,11.92,9.64,8.05,6.78,5.48,4.686,4.196,3.531,2.845,2.768,2.53,1.956,1.847,1.812,1.452,1.308,1.473,1.28,1.014,0.971,0.874,0.552,0.481,0.335,0.053,-0.011,0.053,-0.098,-0.138,-0.071,-0.053,0,0.034,0.089,0.092,0.12,0.429,0.559,0.593,0.84,0.995,0.993,1.089,1.242,1.218,1.208,1.167,1.125,1.066,1.157,1.221,1.215,1.347,1.412,1.541,1.462,1.589,1.736,1.618,1.491,1.682,1.697,1.539,1.795,1.974,1.982,2.217,2.597,2.791,3.093,3.263,3.515,3.578,3.989,4.189,4.18
0,-5.515,-5.319,-5.354,-4.857,-5.459,-5.025003,0.617,5.012,9.082,12.302,15.222,16.872,13.892,11.372,9.132,7.632,6.342,5.052,4.131,3.662,2.941,2.36,2.185,1.842,1.401,1.31,1.268,0.918,0.816,0.974,0.774,0.55,0.638,0.578,0.337,0.151,0.262,0.052,-0.027,-0.147,-0.292,-0.22,-0.123,-0.094,0,0.083,0.134,0.18,0.267,0.488,0.521,0.621,0.827,0.978,1.005,1.04,1.135,1.114,1.087,1.039,1.061,0.932,0.876,1.024,1.031,0.939,1.145,1.295,1.215,1.294,1.412,1.367,1.397,1.384,1.425,1.302,1.558,1.756,1.801,2.001,2.367,2.525,2.911,3.263,3.34,3.401,3.741,3.944,3.921
0,-5.355,-5.313,-5.215,-2.198,3.087,7.576,11.316,14.566,17.306,16.516,13.366,10.686,8.796,7.156,5.606,4.711,3.948,3.01,2.478,2.247,1.736,1.267,1.288,0.941,0.563,0.682,0.483,0.329,0.241,0.311,0.199,0.052,-0.028,-0.012,-0.214,-0.172,-0.042,-0.197,-0.303,-0.271,-0.267,-0.195,-0.146,-0.06,0,0.143,0.222,0.369,0.507,0.673,0.756,0.847,0.934,1.055,1.021,0.931,1.016,0.968,0.795,0.817,0.86,0.835,0.811,0.976,1.054,0.948,1.137,1.233,1.105,1.145,1.22,1.193,1.083,1.308,1.425,1.362,1.666,1.921,1.984,2.217,2.572,2.831,2.998,3.362,3.425,3.503,3.915,4.174,4.305
0,-4.926,-4.793,-3.96,-4.961,-0.649,3.999,7.976,11.546,14.476,18.036,14.676,11.746,9.506,7.536,5.866,4.685,3.74,2.732,2.109,1.696,1.164,0.786,0.632,0.373,0.142,0.037,0.016,-0.222,-0.271,-0.117,-0.264,-0.369,-0.25,-0.278,-0.404,-0.418,-0.38,-0.352,-0.345,-0.114,-0.079,-0.121,-0.047,0.012,0,-0.004,0.137,0.215,0.391,0.582,0.781,0.964,1.168,1.357,1.447,1.553,1.703,1.728,1.7,1.67,1.699,1.646,1.617,1.75,1.838,1.69,1.913,2.078,2.022,2.065,2.289,2.129,1.925,2.061,2.096,1.942,2.145,2.311,2.341,2.507,2.847,3.101,3.301,3.631,3.694,3.721,4.025,4.148,4.111
0,-4.481,-5.174,-5.23,-4.859,-4.376,-5.048,-3.081,1.973,6.322,10.072,13.352,16.122,16.822,13.812,11.292,9.472,8.082,6.602,5.602,5.095,4.227,3.415,3.198,2.669,2.022,1.899,1.763,1.255,1.028,1.042,0.835,0.597,0.688,0.552,0.317,0.328,0.212,0.132,0.072,0.274,0.305,0.221,0.076,0.067,0,0.163,0.331,0.31,0.412,0.688,0.663,0.793,1.053,1.24,1.195,1.302,1.396,1.378,1.351,1.297,1.331,1.195,1.169,1.332,1.318,1.431,1.484,1.59,1.532,1.68,1.84,1.797,1.899,1.962,1.997,1.891,2.232,2.452,2.501,2.754,3.19,3.457,3.697,4.138,4.271,4.339,4.754,4.979,4.985
0,-5.67,-5.348,-5.6035,-5.635,-5.761,-2.303,2.415,6.348,9.808,12.918,15.598,14.568,12.058,9.888,8.018,6.738,5.808,4.683,4.032,3.71,3.017,2.415,2.233,1.897,1.365,1.235,1.102,0.672,0.574,0.602,0.427,0.178,0.318,0.322,0.052,-0.04,0.126,-0.056,-0.075,-0.148,-0.199,-0.216,0,0.089,0,0.262,0.429,0.417,0.574,0.891,1.076,1.13,1.419,1.66,1.567,1.623,1.834,1.739,1.733,1.676,1.684,1.507,1.514,1.743,1.718,1.826,1.868,1.974,1.824,1.975,2.097,1.96,1.874,2.007,2.117,2.077,2.446,2.865,2.891,3.258,3.603,3.635,3.904,4.329,4.394,4.489,4.928,5.178,5.248
