sample_id,concentration_ppb,source_file,Ip_corr,Ep,Area_peak,FWHM,Peak_to_bg,Slope_rise,Slope_fall,Symmetry,dIdE_max,d2IdE2_max,Mean,Var,Skew,Kurtosis,Energy,FWHM_valid,Slope_fall_valid,Symmetry_valid,Peak_to_bg_valid
0ppb_S1,0,Ac TW  0ppb.xlsx,3.0460000000000003,-0.0833,0.44059737,0.0,2.3453139918075703,6.498965585110917,-51.56862745098028,-0.12602556838047813,26.30392156862743,744.9058054594375,1.7871920000000001,0.256199019136,0.9807209521417335,3.16194296141696,86.25635659999999,0,1,1,1
0ppb_S2,0,Ac TW  0ppb.xlsx,2.6550000000000002,-0.0833,0.4149507400000001,0.0,2.036042944785276,4.94124241502079,-45.08823529411753,-0.10959050365995257,26.294117647058712,761.7262591311035,1.6802480000000002,0.149775780096,0.9238439276510656,3.518208511067673,74.32522804000003,0,1,1,1
0ppb_S3,0,Ac TW  0ppb.xlsx,2.4266,-0.0833,0.31548698,0.0,2.774779307505833,6.061659958051962,-40.41176470588224,-0.1499974079867302,24.39215686274511,647.8277585544022,1.2821279999999995,0.23350723161600012,1.0014692522441222,2.7958889085965093,46.93398599999998,0,1,1,1
0ppb_S4,0,Ac TW  0ppb.xlsx,3.2844000000000007,-0.0833,0.4582358900000001,0.0,2.7956147220046983,8.670027547939421,-54.51960784313717,-0.1590258604369398,27.764705882352942,1095.251826220683,1.8562880000000002,0.406883923456,0.7134647922121771,2.59742218721183,96.31722656000002,0,1,1,1
0ppb_S5,0,Ac TW  0ppb.xlsx,2.1285999999999996,-0.0833,0.20706873999999997,0.0,8.023974668275029,7.590789011712575,-35.764705882352835,-0.21224245591959565,24.254901960784302,632.929642445213,0.8440879999999998,0.346479910656,0.8358623934786416,2.3417016569667655,26.474111559999994,0,1,1,1
0ppb_S6,0,Ac TW  0ppb.xlsx,2.3676000000000004,-0.0833,0.25191928,0.0,5.617348391382747,7.95306421934079,-39.11764705882343,-0.2033114161335245,25.186274509803923,579.5847750865044,1.02576,0.3665713376000001,0.7762963117419668,2.376911683579981,35.46887288,0,1,1,1
0ppb_S7,0,Ac TW  0ppb.xlsx,2.2854,-0.0833,0.27182278,0.0,3.6149952546662463,6.282229959926142,-37.60784313725484,-0.16704573928896443,24.009803921568633,583.4294502114564,1.105832,0.2474145045760001,0.9811267083441974,2.7791070562300257,36.756972919999995,0,1,1,1
0ppb_S8,0,Ac TW  0ppb.xlsx,2.5342000000000007,-0.0833,0.2846447100000001,0.0,4.68844816103012,7.927438223427048,-42.28431372549013,-0.18747941080212385,26.950980392156865,677.6239907727788,1.1574480000000003,0.3679385544960002,0.8438685875691481,2.529800169677048,42.69061068000002,0,1,1,1
0ppb_S9,0,Ac TW  0ppb.xlsx,1.9312,-0.0833,0.23792418999999998,0.0,3.246805648957634,4.35386731309823,-29.421568627450917,-0.14798216125825406,23.598039215686256,622.8373702422143,0.9680639999999998,0.1349990231040001,1.0979957295926508,3.431730325005052,26.803673279999995,0,1,1,1
0ppb_S10,0,Ac TW  0ppb.xlsx,2.5536000000000003,-0.0833,0.41876187000000015,0.0,1.9962476547842396,4.847971431148208,-44.59803921568618,-0.10870369003673737,25.039215686274503,525.2787389465593,1.6930560000000003,0.12390181606400001,0.47700868453932205,3.441551429517258,74.75851088000005,0,1,1,1
0ppb_S11,0,Ac TW  0ppb.xlsx,2.4305999999999996,-0.0833,0.3773862599999999,0.0,2.5854146279198402,6.121491310705423,-40.91176470588222,-0.14962667474046373,19.901960784313637,502.2106881968469,1.5244799999999996,0.17903614399999998,0.04846721126141521,2.5843467842179075,62.57688535999998,0,1,1,1
0ppb_S12,0,Ac TW  0ppb.xlsx,2.0958,-0.0833,0.30126980999999997,0.0,2.452260600954788,4.22203871611303,-32.89215686274501,-0.1283600444243011,21.794117647058826,509.4194540561318,1.222248,0.11350771609600001,0.9036096911478763,3.469215740094597,40.18494723999999,0,1,1,1
