concentration_ppb,Ip_corr,Ep,Area_peak,FWHM,Peak_to_bg,Slope_rise,Slope_fall,Symmetry,dIdE_max,d2IdE2_max,Mean,Var,Skew,Kurtosis,Energy,FWHM_valid,Slope_fall_valid,Symmetry_valid,Peak_to_bg_valid
11.3,4.818000000000001,-0.1956,0.9089878800000001,0.22840445978651353,1.9514289417406525,27.385300973536314,-15.459634543684215,-1.7714067493739132,53.568627450980316,1052.4798154555979,3.6411040000000003,0.7280271651840003,-0.5338498599860236,2.5869536705677865,349.6416376000001,1,1,1,1
4.3,3.123,-0.0833,0.5765839000000001,0.0,1.6983902545138136,4.585881551960352,-54.705882352941074,-0.0838279423476625,38.52941176470581,648.7889273356392,2.32612,0.13724218559999998,-0.4244820274363189,4.255440174116676,138.70191100000005,0,1,1,1
8.9,3.31,-0.0833,0.6079099800000001,0.0,2.4645580176316413,9.931718562605663,-60.58823529411752,-0.16392156850902587,27.725490196078404,807.8623606305288,2.442568,0.47604404377600007,-0.7009077468019479,2.1798472001825653,161.05456196000003,0,1,1,1
10.0,2.148,-0.1751,0.3768862,0.0,3.460274502223082,14.575325292824736,-6.024818318935969,-2.4192140777116173,21.539215686274517,628.6043829296444,1.5078559999999999,0.29547440806400005,-0.714952422872261,2.124849156144104,64.22760312000001,0,1,1,1
14.0,3.556,-0.1751,0.6834831000000001,0.0,2.056442285449919,18.435699144277546,-11.566570684217748,-1.5938777056394533,37.74509803921564,788.1584006151515,2.7372,0.44631424,-0.7935023134638174,2.6723616930976517,198.46445200000002,0,1,1,1
14.0,5.142000000000001,-0.1956,1.0611799,0.0,1.5665366804776997,22.83422459893051,-13.083991324830363,-1.7452032817842427,71.27450980392149,860.246059207996,4.257839999999999,0.5746934144000001,-1.1224853689553775,3.6854045204295427,467.597372,0,1,1,1
14.0,3.1666000000000007,-0.1956,0.59452382,0.22348801517067,2.100535979622161,19.601192924722366,-10.726438356780001,-1.8273719824561134,33.21568627450976,622.3567858515999,2.378752,0.36943656729600005,-0.5983846520559464,2.521077968005303,150.69744112000006,1,1,1,1
14.0,3.0172,-0.1751,0.55896243,0.0,2.5607686040195548,18.319392858275513,-9.181749622926091,-1.9951962981579743,26.833333333333307,563.725490196081,2.2370159999999997,0.431994185344,-0.7695899722716587,2.4489809759219376,135.90586924000002,0,1,1,1
5.4,1.976,-0.0833,0.2607566,0.0,4.81012658227848,7.150648928334826,-33.52941176470581,-0.21326496803805667,14.019607843137237,389.2733564013845,1.05328,0.23803100160000004,0.14194037267094978,1.9579536310568355,33.685744,0,1,1,1
2.8,2.254,-0.0833,0.29603324000000003,0.0,4.196455168305034,7.841435643712171,-38.843137254901855,-0.20187441586538205,15.784313725490208,350.8266051518647,1.197312,0.292260633856,0.32818465068903224,1.9472915771772679,43.14541648,0,1,1,1
8.1,1.079,-0.0833,0.12063343000000001,0.0,-4.655678287884017,6.5164806593887,-17.8725490196078,-0.36460835285663684,14.62745098039216,487.3125720876589,0.432528,0.202569657216,-0.39066521202516064,1.6334604791193446,9.7412532,0,1,1,1
2.0,1.1724,-0.0833,0.07407872,0.0,-4.081035923141187,6.468647031449743,-18.09803921568624,-0.35742253369874055,15.598039215686274,491.63783160322964,0.184496,0.25494575078400006,0.5387658073652859,1.9276337667001595,7.22461312,0,1,1,1
14.2,1.5270000000000004,-0.0833,0.25047544,0.0,6.7638199858256565,6.622266546551175,-26.45098039215681,-0.2503599658073466,16.88235294117647,435.4094579008088,1.003792,0.22252489753600002,-0.7338400657897687,1.9567017078934343,30.753081920000007,0,1,1,1
14.2,1.4090000000000003,-0.1649,0.20272578000000002,0.0,23.60924932975872,11.092990167562032,-5.242424242424245,-2.1160039047950687,16.176470588235297,423.8754325259512,0.8090560000000001,0.22269622566400002,-0.5341809486051702,1.8131818322898134,21.931695920000003,0,1,1,1
14.2,1.5490000000000004,-0.1751,0.23074129000000004,0.0,9.881347282470019,12.536074664656237,-4.632112985054171,-2.7063404336432937,18.80392156862745,497.8854286812764,0.9211440000000002,0.21836901606400005,-0.6202419907441453,2.0596255702648634,26.671882120000003,0,1,1,1
14.2,1.3034,-0.0833,0.19357840000000004,0.0,30.624999999999996,6.39063206082873,-22.32352941176464,-0.2862733729488504,15.264705882352942,351.3071895424846,0.773424,0.201645505024,-0.6913439991114821,1.8869892934144366,19.995754720000004,0,1,1,1
14.2,1.4262000000000001,-0.1751,0.25403646,0.0,4.91657473800331,10.742295055240358,-2.592417386535039,-4.143736695732567,15.686274509803948,340.2537485582483,1.0165520000000001,0.184108839296,-0.8392963441006039,2.2030009849500205,30.437170200000004,0,1,1,1
14.2,1.3485999999999998,-0.1649,0.21624935,0.0,14.872077635641814,11.13099010338199,-3.601069518716577,-3.09102338778205,17.31372549019607,422.9142637447151,0.863288,0.226263107456,-0.683131555244811,1.8733634753900348,24.28823196,0,1,1,1
14.2,1.1962,-0.0833,0.17893812,0.0,-43.40348330914368,6.252311854466057,-20.098039215686217,-0.31109063861245834,17.852941176470594,457.9969242599016,0.7094080000000001,0.209207505536,-0.6777767438455947,1.7948006580796374,17.8116804,0,1,1,1
14.2,1.4528,-0.1751,0.25661841,0.0,4.665981500513875,11.040055064906628,-2.4016179898532926,-4.596923870303383,15.784313725490172,455.1134179161859,1.027608,0.18028523993600004,-0.8306139303609273,2.190158457758641,30.90658604,0,1,1,1
